Date,Name,Year,Letterboxd URI
8/17/20,Finding Dory,2016,https://boxd.it/4aAA
8/17/20,A Bug's Life,1998,https://boxd.it/1Yyy
8/17/20,Rocky,1976,https://boxd.it/28Uk
8/17/20,Creed,2015,https://boxd.it/a2qk
8/17/20,Creed II,2018,https://boxd.it/hgl8
8/17/20,Rocky II,1979,https://boxd.it/28Ua
8/17/20,Rocky Balboa,2006,https://boxd.it/291q
8/17/20,3:10 to Yuma,2007,https://boxd.it/23g0
8/17/20,The Matrix,1999,https://boxd.it/2a1m
8/17/20,Fight Club,1999,https://boxd.it/2a9q
8/17/20,Se7en,1995,https://boxd.it/29zs
8/17/20,Forrest Gump,1994,https://boxd.it/728
8/17/20,The Truman Show,1998,https://boxd.it/18U8
8/17/20,The Shawshank Redemption,1994,https://boxd.it/2aHi
8/17/20,The Lion King,1994,https://boxd.it/201Q
8/17/20,Saving Private Ryan,1998,https://boxd.it/29ro
8/17/20,Léon: The Professional,1994,https://boxd.it/2b8S
8/17/20,American History X,1998,https://boxd.it/2bdo
8/17/20,Braveheart,1995,https://boxd.it/2aTI
8/17/20,Ace Ventura: Pet Detective,1994,https://boxd.it/25RW
8/17/20,Malcolm X,1992,https://boxd.it/27WE
8/17/20,Die Hard 2,1990,https://boxd.it/28zw
8/17/20,Antz,1998,https://boxd.it/1ZB4
8/17/20,October Sky,1999,https://boxd.it/1Q7u
8/17/20,Rocky V,1990,https://boxd.it/28SS
8/17/20,Patch Adams,1998,https://boxd.it/1Wzk
8/17/20,How to Train Your Dragon,2010,https://boxd.it/1WRy
8/17/20,Mulan,1998,https://boxd.it/1VFw
8/17/20,Happy Feet,2006,https://boxd.it/1XH0
8/17/20,Bee Movie,2007,https://boxd.it/22Vw
8/17/20,Chicken Little,2005,https://boxd.it/1Xnu
8/17/20,Alvin and the Chipmunks,2007,https://boxd.it/21E0
8/17/20,Garfield,2004,https://boxd.it/1ZAA
8/17/20,The Tale of Despereaux,2008,https://boxd.it/1WQg
8/17/20,Dead Poets Society,1989,https://boxd.it/2aSg
8/17/20,Click,2006,https://boxd.it/1YVM
8/17/20,50 First Dates,2004,https://boxd.it/285c
8/17/20,Joy,2015,https://boxd.it/8kEU
8/17/20,Don Jon,2013,https://boxd.it/4sdk
8/17/20,"Love, Rosie",2014,https://boxd.it/62hE
8/17/20,"Me, Myself & Irene",2000,https://boxd.it/27nY
8/17/20,Mr. Popper's Penguins,2011,https://boxd.it/kRS
8/17/20,Night at the Museum,2006,https://boxd.it/28wi
8/17/20,Just Go with It,2011,https://boxd.it/Doq
8/17/20,Are We Ok?,2013,https://boxd.it/7wSW
8/17/20,Miracle in Cell No. 7,2019,https://boxd.it/nFrM
8/17/20,Whisper If I Forget,2014,https://boxd.it/9y5c
8/17/20,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O
8/17/20,Stuart Little,1999,https://boxd.it/1WZW
8/17/20,Dangal,2016,https://boxd.it/chfU
8/17/20,Ghajini,2008,https://boxd.it/1OP0
8/17/20,PK,2014,https://boxd.it/9q1G
8/17/20,Love Likes Coincidences,2011,https://boxd.it/nVe
8/17/20,Zathura: A Space Adventure,2005,https://boxd.it/21mq
8/17/20,The Illusionist,2006,https://boxd.it/28H6
8/17/20,Master and Commander: The Far Side of the World,2003,https://boxd.it/200S
8/17/20,An Education,2009,https://boxd.it/1xcg
8/17/20,Man on Fire,2004,https://boxd.it/1Yvk
8/17/20,21,2008,https://boxd.it/20BO
8/17/20,The Bucket List,2007,https://boxd.it/20Ye
8/17/20,Hachi: A Dog's Tale,2009,https://boxd.it/1q4a
8/17/20,Déjà Vu,2006,https://boxd.it/20PQ
8/17/20,Chocolat,2000,https://boxd.it/2aue
8/17/20,The Transporter,2002,https://boxd.it/24Nu
8/17/20,Journey to the Center of the Earth,2008,https://boxd.it/38EI
8/17/20,P.S. I Love You,2007,https://boxd.it/229C
8/17/20,Freedom Writers,2007,https://boxd.it/28p2
8/17/20,RV,2006,https://boxd.it/1YrW
8/17/20,Exam,2009,https://boxd.it/1mn8
8/17/20,Little Man,2006,https://boxd.it/1ZeE
8/17/20,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G
8/17/20,Elizabethtown,2005,https://boxd.it/1Ydq
8/17/20,Peaceful Warrior,2006,https://boxd.it/1PCw
8/17/20,Little Boy,2015,https://boxd.it/7AcA
8/17/20,One Love,2018,https://boxd.it/kPuK
8/17/20,The Butterfly's Dream,2013,https://boxd.it/5haQ
8/17/20,Cats & Dogs,2001,https://boxd.it/1UUq
8/17/20,The Vow,2012,https://boxd.it/2o4Y
8/17/20,Jack and Jill,2011,https://boxd.it/2pQu
8/17/20,Kingdom of Heaven,2005,https://boxd.it/28Gs
8/17/20,Sully,2016,https://boxd.it/cD8Q
8/17/20,Exodus: Gods and Kings,2014,https://boxd.it/4FV0
8/18/20,Cosmos,2014,https://boxd.it/J34E
3/11/21,Cold War,2018,https://boxd.it/fEoc
3/11/21,Kate & Leopold,2001,https://boxd.it/1Uj0
3/11/21,The Painted Veil,2006,https://boxd.it/1OyS
3/11/21,Schindler's List,1993,https://boxd.it/2aq2
3/11/21,Nomadland,2020,https://boxd.it/lnRy
3/11/21,I Care a Lot,2020,https://boxd.it/mcHk
3/11/21,A Few Good Men,1992,https://boxd.it/29nw
3/11/21,Eternity and a Day,1998,https://boxd.it/1wSq
3/11/21,"Don't Worry, I'm Fine",2006,https://boxd.it/2908
3/11/21,Soul,2020,https://boxd.it/ioLA
3/11/21,Ayla: The Daughter of War,2017,https://boxd.it/gWyw
3/11/21,Gone Girl,2014,https://boxd.it/6hQu
3/11/21,Monsters University,2013,https://boxd.it/bQm
3/11/21,Star Wars: The Force Awakens,2015,https://boxd.it/4vru
3/11/21,Blood Diamond,2006,https://boxd.it/28Tm
3/11/21,Catch Me If You Can,2002,https://boxd.it/29VS
3/11/21,The Sixth Sense,1999,https://boxd.it/29Js
3/11/21,Home Alone,1990,https://boxd.it/29Fg
3/11/21,Night on Earth,1991,https://boxd.it/2ayq
3/16/21,The Devil All the Time,2020,https://boxd.it/i2tY
3/21/21,The Water Diviner,2014,https://boxd.it/7A76
3/21/21,Coming Soon,2014,https://boxd.it/9mzu
3/21/21,Argo,2012,https://boxd.it/2czU
3/21/21,Sherlock Holmes,2009,https://boxd.it/1W2A
3/21/21,Yahşi Batı,2009,https://boxd.it/1kMK
3/21/21,Certified Copy,2010,https://boxd.it/IMW
3/21/21,The Queen's Gambit,2020,https://boxd.it/s1Ym
3/21/21,Ethos,2020,https://boxd.it/sJVQ
3/21/21,The Machinist,2004,https://boxd.it/248c
3/21/21,Candy,2006,https://boxd.it/24l6
3/21/21,21 Grams,2003,https://boxd.it/2ajK
3/21/21,Colony,2015,https://boxd.it/gOcW
3/21/21,Vicky Cristina Barcelona,2008,https://boxd.it/23rW
3/21/21,Liar Liar,1997,https://boxd.it/28sg
3/21/21,The Mask,1994,https://boxd.it/29rS
3/21/21,Muslum,2018,https://boxd.it/jcPW
3/21/21,Eyyvah Eyvah,2010,https://boxd.it/HGo
3/21/21,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc
3/21/21,Wacky Class Welcome,2004,https://boxd.it/1heA
3/21/21,Five Minarets in New York,2010,https://boxd.it/AwQ
3/21/21,Being John Malkovich,1999,https://boxd.it/2ahu
3/21/21,Little Women,2019,https://boxd.it/aSVk
3/21/21,It's Only the End of the World,2016,https://boxd.it/be0K
3/21/21,A Short Film About Love,1988,https://boxd.it/1jXC
3/21/21,Tenet,2020,https://boxd.it/leq4
3/21/21,Madagascar 3: Europe's Most Wanted,2012,https://boxd.it/2NF6
3/21/21,Madagascar: Escape 2 Africa,2008,https://boxd.it/1W2K
3/21/21,The Judge,2014,https://boxd.it/6aiU
3/21/21,Hadi Be Oğlum,2018,https://boxd.it/i1zw
3/21/21,Green Zone,2010,https://boxd.it/1zNS
3/24/21,Palm Springs,2020,https://boxd.it/lCXQ
4/12/21,While We're Young,2014,https://boxd.it/7oOs
4/12/21,Once Upon a Time in Anatolia,2011,https://boxd.it/2yHG
4/12/21,Time to Love,1965,https://boxd.it/46cu
4/14/21,Once,2007,https://boxd.it/22GG
4/24/21,Like Crazy,2011,https://boxd.it/g4s
4/25/21,Pieces of a Woman,2020,https://boxd.it/nOrQ
4/26/21,Closer,2004,https://boxd.it/270K
4/26/21,The Art of Racing in the Rain,2019,https://boxd.it/iYWk
4/30/21,On Body and Soul,2017,https://boxd.it/fu7A
5/2/21,Sound of Metal,2019,https://boxd.it/i7Q4
5/4/21,Amélie,2001,https://boxd.it/2aUc
5/6/21,Lady Bird,2017,https://boxd.it/dGNE
5/9/21,Minari,2020,https://boxd.it/mL9M
5/11/21,As Good as It Gets,1997,https://boxd.it/268y
5/26/21,Love in the Afternoon,1957,https://boxd.it/1HcK
6/3/21,Love in the Afternoon,1972,https://boxd.it/1Svo
6/30/21,Pain and Glory,2019,https://boxd.it/iOBQ
7/9/21,To the Bone,2017,https://boxd.it/e5AK
7/13/21,Looper,2012,https://boxd.it/ham
7/18/21,Something Useful,2017,https://boxd.it/gMaY
7/21/21,Insurgent,2015,https://boxd.it/7NNa
7/21/21,Divergent,2014,https://boxd.it/4VT0
7/30/21,Inglourious Basterds,2009,https://boxd.it/1JzG
8/12/21,Never Look Away,2018,https://boxd.it/eZns
8/12/21,The Lovers on the Bridge,1991,https://boxd.it/26li
8/17/21,Amores Perros,2000,https://boxd.it/2bfu
8/20/21,Jerry Maguire,1996,https://boxd.it/1YNS
8/20/21,Noah Land,2019,https://boxd.it/lEsq
8/23/21,Chungking Express,1994,https://boxd.it/1UDa
9/13/21,Another Round,2020,https://boxd.it/lkba
9/18/21,Enemy,2013,https://boxd.it/5xtO
9/20/21,The Father,2020,https://boxd.it/m8Ie
9/30/21,Shame,2011,https://boxd.it/2CxU
10/4/21,A Heart in Winter,1992,https://boxd.it/Ja0
10/10/21,Cinderella Man,2005,https://boxd.it/29he
10/12/21,Shiva Baby,2020,https://boxd.it/oIv0
10/12/21,The Guilty,2021,https://boxd.it/kOPW
10/12/21,Locke,2013,https://boxd.it/6hHC
10/15/21,Moonrise Kingdom,2012,https://boxd.it/2Wng
10/27/21,Dune,2021,https://boxd.it/fA7G
11/5/21,Scenes from a Marriage,2021,https://boxd.it/wzSU
11/7/21,The Souvenir,2019,https://boxd.it/gXU4
11/21/21,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO
11/28/21,Cinema Paradiso,1988,https://boxd.it/1UlA
12/9/21,A Tale of Winter,1992,https://boxd.it/1WJO
12/9/21,Rush,2013,https://boxd.it/3lyS
12/16/21,"Ana, My Love",2017,https://boxd.it/fesM
12/18/21,When Harry Met Sally...,1989,https://boxd.it/29W2
12/25/21,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/jLP8
1/15/22,Don't Look Up,2021,https://boxd.it/o0Hc
1/20/22,The Social Network,2010,https://boxd.it/17ue
1/21/22,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ
2/24/22,The Worst Person in the World,2021,https://boxd.it/oyws
3/1/22,Brothers,2009,https://boxd.it/20WW
3/15/22,The Power of the Dog,2021,https://boxd.it/m99E
