Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-03-03,Wander to Wonder,2023,https://boxd.it/90bxAb,3.5,,,2025-03-02
2025-03-03,In the Shadow of the Cypress,2023,https://boxd.it/90byyv,4.5,,,2025-03-02
2025-03-03,Beautiful Men,2023,https://boxd.it/90bzPH,4,,,2025-03-02
2025-03-03,Yuck!,2024,https://boxd.it/90dxkV,4.5,,,2025-03-02
2025-03-03,Magic Candies,2024,https://boxd.it/90dybF,4,,,2025-03-02
2025-03-07,I'm Not a Robot,2023,https://boxd.it/931IJb,4.5,,,2025-03-06
2025-03-07,The Last Ranger,2024,https://boxd.it/931Kpx,3.5,,,2025-03-06
2025-03-07,Anuja,2024,https://boxd.it/931ZNf,3.5,,,2025-03-06
2025-03-07,The Man Who Could Not Remain Silent,2024,https://boxd.it/9322VB,4,,,2025-03-07
2025-03-07,A Lien,2023,https://boxd.it/932n8Z,5,,,2025-03-07
2025-03-08,Trainspotting,1996,https://boxd.it/93HGn7,4,,,2025-03-08
2025-04-07,Adolescence,2025,https://boxd.it/9lihQ1,4,,,2025-04-06
2025-04-07,The Friend,2024,https://boxd.it/9liklP,3,,,2025-04-06
2025-04-21,I'm Still Here,2024,https://boxd.it/9tvpTv,4.5,,,2025-04-20
2025-04-22,Moonlight,2016,https://boxd.it/9tUHEN,4,,,2025-04-21
2025-04-22,The Ballad of Wallis Island,2025,https://boxd.it/9tUOQB,4,,,2025-04-21
2025-04-22,My Life as a Zucchini,2016,https://boxd.it/9uguU3,5,,,2025-04-22
2025-04-25,Manchester by the Sea,2016,https://boxd.it/9vT8DB,4,,,2025-04-25
2025-04-26,My Neighbor Totoro,1988,https://boxd.it/9wrpcF,3.5,,,2025-04-26
2025-05-26,La Haine,1995,https://boxd.it/9O8NCV,4.5,,,2025-05-25
2025-05-26,La Haine,1995,https://boxd.it/9O8RtN,4.5,Yes,,2025-05-25
2025-05-29,In the Mood for Love,2000,https://boxd.it/9Q4EWn,5,,,2025-05-29
2025-06-01,Ghost Trail,2024,https://boxd.it/9RUlR7,4,,,2025-06-01
2025-06-03,The Battle of Algiers,1966,https://boxd.it/9TgrrH,3.5,,,2025-06-02
2025-06-23,The Phoenician Scheme,2025,https://boxd.it/a5BlpP,3,,,2025-06-22
2025-06-30,Irreversible,2002,https://boxd.it/a9TpfL,,,,2025-06-29
2025-07-01,Frances Ha,2012,https://boxd.it/aaY7OR,3.5,,,2025-06-30
2025-07-02,Raising Arizona,1987,https://boxd.it/abDFtZ,4,,,2025-07-02
2025-07-04,The Darjeeling Limited,2007,https://boxd.it/acRkeV,3.5,,,2025-07-03
2025-07-05,Following,1998,https://boxd.it/adoujR,4,,,2025-07-04
2025-07-09,Kes,1969,https://boxd.it/agiClB,4,,,2025-07-08
2025-07-10,Senna,2010,https://boxd.it/aheHL1,3.5,,,2025-07-10
2025-07-12,"I, Daniel Blake",2016,https://boxd.it/aixHcd,3.5,,,2025-07-11
2025-07-21,Argo,2012,https://boxd.it/apxLSl,3,,,2025-07-20
2025-07-22,The Time That Remains,2009,https://boxd.it/aqugvX,4,,,2025-07-22
2025-07-24,Materialists,2025,https://boxd.it/as1FgN,3.5,,,2025-07-24
2025-07-26,Memories of Murder,2003,https://boxd.it/atCTAP,4,,,2025-07-25
2025-08-02,The Things of Life,1970,https://boxd.it/azN033,4.5,,,2025-08-02
2025-08-03,The Sacrifice,1986,https://boxd.it/aAcZlH,1,,,2025-08-03
2025-08-05,Hiroshima Mon Amour,1959,https://boxd.it/aCkdhL,3.5,,,2025-08-05
2025-08-07,12 Years a Slave,2013,https://boxd.it/aDulcX,4,,,2025-08-07
2025-08-07,The Night Of,2016,https://boxd.it/aDutRT,4,,,2025-08-07
2025-08-08,The Lives of Others,2006,https://boxd.it/aE6GLb,3.5,,,2025-08-08
2025-08-09,Groundhog Day,1993,https://boxd.it/aEQEVF,3.5,,,2025-08-09
2025-08-10,Cure,1997,https://boxd.it/aFpHqb,0.5,,,2025-08-09
2025-08-10,The Wonderful Story of Henry Sugar,2023,https://boxd.it/aG4Ror,4,,,2025-08-10
2025-08-12,Ulysses' Gaze,1995,https://boxd.it/aHHGK9,4.5,,,2025-08-12
2025-08-13,Landscape in the Mist,1988,https://boxd.it/aIsAgh,4,,,2025-08-13
2025-08-15,Breathless,1960,https://boxd.it/aJhFVh,3,,,2025-08-14
2025-08-28,Decalogue I,1989,https://boxd.it/aSQI39,4.5,,,2025-08-28
2025-08-28,The Fall,2006,https://boxd.it/aSQJN3,4.5,,,2025-08-28
2025-09-23,Once Upon a Time in Anatolia,2011,https://boxd.it/b9eDuL,4,,,2025-09-22
2025-09-24,Ray,2004,https://boxd.it/ba5Lf1,4,,,2025-09-23
2025-10-31,Decalogue II,1989,https://boxd.it/by5Wb1,4,,,2025-10-14
2025-10-31,Frankenstein,2025,https://boxd.it/by5PS3,3,,,2025-10-30
2025-11-04,The 400 Blows,1959,https://boxd.it/bAWPjL,4.5,,,2025-11-03
2025-11-06,Nouvelle Vague,2025,https://boxd.it/bCiZqP,3.5,,,2025-11-05
2025-11-08,Pierrot le Fou,1965,https://boxd.it/bDvK79,2.5,,,2025-11-07
2025-11-19,Decalogue III,1989,https://boxd.it/bLvX0d,3.5,,,2025-11-19
2025-11-19,It Was Just an Accident,2025,https://boxd.it/bLvXfx,3.5,,,2025-11-19
2025-11-19,The White Ribbon,2009,https://boxd.it/bLvXop,4,,,2025-11-19
2025-11-20,Rebuilding,2025,https://boxd.it/bM4SQX,2,,,2025-11-19
2025-11-24,There Will Be Blood,2007,https://boxd.it/bOCokX,4,,,2025-11-23
2025-11-26,Jay Kelly,2025,https://boxd.it/bQpBQT,3,,,2025-11-25
2025-12-02,"Paris, 13th District",2021,https://boxd.it/bUi45n,3,,,2025-12-01
2025-12-02,The Wind That Shakes the Barley,2006,https://boxd.it/bUsANh,4,,,2025-12-01
2025-12-04,"The Tree, the Mayor and the Mediatheque",1993,https://boxd.it/bVy6dz,3,,,2025-12-03
2025-12-06,Leviathan,2014,https://boxd.it/bWJSjL,3.5,,,2025-12-05
2025-12-09,A Short Film About Killing,1988,https://boxd.it/bZ5xtd,5,,,2025-12-08
2025-12-10,The Return,2003,https://boxd.it/bZNEWz,4,,,2025-12-09
2025-12-11,That Obscure Object of Desire,1977,https://boxd.it/c0vzWn,2.5,,,2025-12-11
2025-12-13,La Grazia,2025,https://boxd.it/c1lGEf,3,,,2025-12-12
2025-12-14,The Banishment,2007,https://boxd.it/c2Aji5,3.5,,,2025-12-13
